Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","20000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","24000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","36000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","34000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","42900","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","56300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","70900","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","76100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","90400","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","97700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
