Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1961","1961","tonnes","500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1962","1962","tonnes","1000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1963","1963","tonnes","2000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1964","1964","tonnes","2000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1965","1965","tonnes","2000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1966","1966","tonnes","4100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1967","1967","tonnes","4900","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1968","1968","tonnes","7500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1969","1969","tonnes","9100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1970","1970","tonnes","10700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
